name,team,min,uast,ts
Nick Van Exel,DEN,37.8,0.637,0.515
Olden Polynice,UTA,20.0,0.35,0.484
Othella Harrington,NYK,24.5,0.364,0.549
Otis Thorpe,CHH,13.2,0.288,0.487
P.J. Brown,CHH,35.1,0.289,0.518
Pat Garrity,ORL,20.8,0.215,0.507
Patrick Ewing,SEA,26.6,0.374,0.478
Paul McPherson,GSW,10.8,0.505,0.542
Paul Pierce,BOS,38.1,0.357,0.563
Peja Stojakovic,SAC,38.7,0.335,0.576
Popeye Jones,WAS,14.2,0.367,0.457
Quentin Richardson,LAC,17.8,0.384,0.516
Quincy Lewis,UTA,11.4,0.16,0.469
Raef LaFrentz,DEN,31.5,0.271,0.544
Randy Brown,BOS,22.9,0.23,0.438
Rashard Lewis,SEA,34.9,0.2,0.587
Rasheed Wallace,POR,38.2,0.251,0.56
Rasho Nesterovic,MIN,17.0,0.347,0.472
Ray Allen,MIL,38.2,0.428,0.61
Reggie Miller,IND,39.3,0.222,0.574
Reggie Slater,MIN,12.4,0.356,0.568
Richard Hamilton,WAS,32.3,0.481,0.508
Rick Fox,LAL,28.0,0.244,0.562
Robert Horry,LAL,20.1,0.381,0.489
Robert Pack,DEN,17.0,0.657,0.493
Robert Traylor,CLE,17.3,0.36,0.521
Rod Strickland,POR,25.4,0.67,0.493
Rodney Buford,PHI,12.2,0.26,0.489
Rodney Rogers,PHX,26.6,0.337,0.507
Ron Harper,LAL,24.2,0.394,0.525
Ron Mercer,CHI,41.5,0.32,0.492
Roshown McLeod,PHI,26.2,0.352,0.475
Ruben Patterson,SEA,27.1,0.411,0.544
Ryan Bowen,DEN,12.2,0.275,0.585
Sam Cassell,MIL,35.7,0.639,0.542
Sam Mitchell,MIN,12.0,0.144,0.455
Sam Perkins,IND,15.6,0.186,0.499
Samaki Walker,SAS,15.8,0.388,0.524
Scot Pollard,SAC,21.6,0.341,0.53
Scott Williams,MIL,19.2,0.205,0.514
Scottie Pippen,POR,33.3,0.338,0.541
Sean Elliott,SAS,23.6,0.327,0.544
Sean Rooks,LAC,18.9,0.195,0.487
Shammond Williams,SEA,18.0,0.565,0.569
Shandon Anderson,HOU,29.2,0.281,0.528
Shaquille O'Neal,LAL,39.5,0.355,0.574
Shareef Abdur-Rahim,VAN,40.0,0.323,0.549
Shawn Bradley,DAL,24.4,0.315,0.551
Shawn Kemp,POR,15.9,0.256,0.469
Shawn Marion,PHX,36.2,0.316,0.532
Sherman Douglas,NJN,18.5,0.525,0.478
Stacey Augmon,POR,17.9,0.291,0.511
Stephen Jackson,NJN,21.6,0.3,0.503
Stephon Marbury,NJN,38.2,0.668,0.54
